Policy adopted?,"Does the law cover only handgun purchases, or also rifle and shotgun purchases?",When is the background check performed?
Alabama,—,—
Alaska,—,—
Arizona,—,—
Arkansas,—,—
California,"All firearms (handguns, rifles, and shotguns)",Point-of-sale
Colorado,"All firearms (handguns, rifles, and shotguns)",Point-of-sale
Connecticut,"All firearms (handguns, rifles, and shotguns)",Permit to purchase and point-of-sale
Delaware,"All firearms (handguns, rifles, and shotguns)",Point-of-sale
Florida,—,—
Georgia,—,—
Hawaii,"All firearms (handguns, rifles, and shotguns)",Permit to purchase
Idaho,—,—
Illinois,"All firearms (handguns, rifles, and shotguns)",Permit to purchase and point-of-sale
Indiana,—,—
Iowa,—,—
Kansas,—,—
Kentucky,—,—
Louisiana,—,—
Maine,—,—
Maryland,"All firearms (handguns, rifles, and shotguns)",Permit to purchase (for handguns) and point-of-sale (for all guns)
Massachusetts,"All firearms (handguns, rifles, and shotguns)",Permit to purchase
Michigan,"All firearms (handguns, rifles, and shotguns)",Permit to purchase
Minnesota,—,—
Mississippi,—,—
Missouri,—,—
Montana,—,—
Nebraska,Handguns only,Permit to purchase
Nevada,"All firearms (handguns, rifles, and shotguns)",Point-of-sale
New Hampshire,—,—
New Jersey,"All firearms (handguns, rifles, and shotguns)",Permit to purchase and point-of-sale
New Mexico,"All firearms (handguns, rifles, and shotguns)",Point-of-sale
New York,"All firearms (handguns, rifles, and shotguns)",Permit to purchase (for handguns and semiautomatic rifles) and point-of-sale (for all guns)
North Carolina,—,—
North Dakota,—,—
Ohio,—,—
Oklahoma,—,—
Oregon,"All firearms (handguns, rifles, and shotguns)",Permit to purchase and point-of-sale
Pennsylvania,Handguns only,Point-of-sale
Rhode Island,"All firearms (handguns, rifles, and shotguns)",Point-of-sale
South Carolina,—,—
South Dakota,—,—
Tennessee,—,—
Texas,—,—
Utah,—,—
Vermont,"All firearms (handguns, rifles, and shotguns)",Point-of-sale
Virginia,"All firearms (handguns, rifles, and shotguns)",Point-of-sale
Washington,"All firearms (handguns, rifles, and shotguns)",Point-of-sale
West Virginia,—,—
Wisconsin,—,—
Wyoming,—,—
